Schaden Paar;Anzahl
('BCABA', 'BCCBY');8
('BBCB', 'BCAZA');8
('BAAA', 'BAFJE');8
('BBCA', 'BCAGA');8
('BAJA', 'BCBZB');7
('BAFJE', 'BCBZD');7
('BAIZ', 'BDDC');7
('BAHB', 'BBFC');7
('BAG', 'BCCBY');7
('BAJA', 'BCCYB');7
('BABAA', 'BAHB');7
('BAAA', 'BAG');7
('BAFJE', 'BBBZ');7
('BAG', 'BCCAY');7
('BAJB', 'BCAGA');7
('BBAB', 'BDDC');7
('BAP', 'BBFC');7
('BAHB', 'BAJC');7
('BAP', 'BDDB');7
('BAFAE', 'BBCB');7
('BAHB', 'BBFA');7
('BAO', 'BCAZA');7
('BAJB', 'BCBZD');7
('BABBC', 'BCAZA');7
('BCACA', 'BCBZD');7
('BBAB', 'BCABA');7
('BAP', 'BCBZZ');7
('BCBZB', 'BDDC');7
('BCAGA', 'BCAZA');7
('BAP', 'BCAZA');6
('BBAB', 'BCBZB');6
('BBCB', 'BCCYB');6
('BBCA', 'BCCBY');6
('BAJA', 'BBCA');6
('BBAC', 'BBFA');6
('BAO', 'BCAGA');6
('BAO', 'BCBZD');6
('BAJA', 'BCAAB');6
('BAFAE', 'BAP');6
('BBAC', 'BCABA');6
('BCABA', 'BDDC');6
('BAO', 'BDDC');6
('BAAA', 'BAIZ');6
('BAP', 'BCCAY');6
('BAFCE', 'BCCYB');6
('BBCB', 'BCACA');6
('BAHB', 'BBBZ');6
('BBAC', 'BBBZ');6
('BABAA', 'BCAZA');6
('BCACA', 'BDDA');6
('BABAA', 'BCCYB');6
('BCAZA', 'BCCBY');5
('BACB', 'BCBZC');5
('BBCB', 'BCBZB');5
('BCAZA', 'BDDA');5
('BAG', 'BCBZC');5
('BAFBE', 'BCCYB');5
('BAJB', 'BCAZA');5
('BCBZZ', 'BDDC');5
('BAFAE', 'BCCYB');5
('BBFC', 'BCCAY');5
('BBAC', 'BCCYB');5
('BAG', 'BDDC');5
('BAFJE', 'BCBZC');5
('BDDA', 'BDDC');5
('BBFC', 'BCCYB');5
('BABBB', 'BCCBY');5
('BAIZ', 'BCABA');5
('BAFAE', 'BAHB');5
('BAFJE', 'BDDC');5
('BACB', 'BCABA');5
('BCACA', 'BCBZC');5
('BAAA', 'BAFAE');5
('BAFAE', 'BCAAB');5
('BAFAE', 'BCCAY');4
('BBBZ', 'BCAAB');4
('BBCA', 'BBFA');4
('BBAB', 'BCAGA');4
('BCABA', 'BCBZD');4
('BAFJE', 'BCAGA');4
('BAFJE', 'BCAAB');4
('BAG', 'BCBZB');4
('BBCB', 'BCAGA');4
('BCAZA', 'BCCAY');4
('BAHB', 'BAJA');4
('BAAA', 'BAFBE');4
('BAFAE', 'BAO');4
('BCBZD', 'BCCAY');4
('BBFA', 'BCCAY');4
('BAHB', 'BAJB');4
('BBBZ', 'BCAZA');4
('BBFA', 'BCAZA');4
('BAHB', 'BDDB');4
('BAFAE', 'BCACA');4
('BAIZ', 'BCCAY');3
('BBFC', 'BCCBY');3
('BAP', 'BCBZD');3
('BBAB', 'BCBZC');3
('BCAZA', 'BCCYB');3
('BBCA', 'BCCYB');3
('BCCYB', 'BDDC');3
('BBCB', 'BBFA');3
('BAO', 'BCABA');3
('BAFCE', 'BCAAB');3
('BCABA', 'BCCYB');3
('BAP', 'BBAC');3
('BAP', 'BCABA');3
('BBFA', 'BCBZD');3
('BAFJE', 'BCBZZ');3
('BAFCE', 'BCBZC');3
('BBCA', 'BCBZC');3
('BBCA', 'BCBZD');3
('BAHB', 'BBAB');3
('BAIZ', 'BCBZB');3
('BAIZ', 'BCCYB');3
('BBAB', 'BCBZD');3
('BCACA', 'BDDC');2
('BAP', 'BCBZC');2
('BAFAE', 'BCAZA');2
('BABBC', 'BCAGA');2
('BCACA', 'BCCBY');2
('BAG', 'BCCYB');2
('BAHB', 'BBCB');2
('BAO', 'BBBZ');2
('BCBZB', 'BCCAY');2
('BAP', 'BBCB');2
('BCBZD', 'BCCBY');2
('BBBZ', 'BBCB');2
('BAHB', 'BCCAY');2
('BAHB', 'BCCBY');2
('BAO', 'BCBZB');2
('BBFA', 'BDDC');2
('BAFJE', 'BCCYB');2
('BAP', 'BBBZ');2
('BAAA', 'BABAA');2
('BBBZ', 'BCBZB');2
('BBCA', 'BCACA');2
('BAP', 'BCCYB');2
('BAIZ', 'BCACA');2
('BCBZB', 'BCCBY');2
('BCBZD', 'BCCYB');2
('BAAA', 'BCABA');1
('BBAC', 'BCAZA');1
('BAHB', 'BAIZ');1
('BAP', 'BDDC');1
('BBCA', 'BCAZA');1
('BAP', 'BCAGA');1
('BBAC', 'BCACA');1
('BAIZ', 'BCBZZ');1
('BAO', 'BCBZC');1
('BCABA', 'BCAZA');1
('BAHB', 'BCBZB');1
('BCACA', 'BCBZB');1
('BAIZ', 'BCBZD');1
('BAAA', 'BCACA');1
('BAHB', 'BCBZC');1
('BBAC', 'BCBZB');1
('BAHB', 'BBAC');1
('BCAGA', 'BCCYB');1
('BCACA', 'BCAGA');1
('BAAA', 'BCBZD');1
('BAHB', 'BCAAB');1
('BAFCE', 'BCACA');1
('BAIZ', 'BCBZC');1
('BAHB', 'BCBZD');1
('BABBC', 'BCBZD');1
